原始清單,is_unit
TP129富律,True
TP170富驥,True
TP176富仁,True
TP358富航,True
TP510富群,True
TP511富群二,True
TP557富謙,True
TP701富翁,True
TP716富源,True
TP729富行,True
TP812富寬,True
TP849富耘,True
TP890富方,True
TP895富獻,True
TP918富策,True
TP925富胤二,True
TP928富略,True
TP931富略一,True
TP968富瀚,True
TP978富決,True
TP981富決一,True
TP986富商,True
TP997富策二,True
TP998富胤,True
TP999富焱,True
TPDX0富宥一,True
TPDY0富宥,True
北二區部鄧鈞鴻 02-66088915#201  (104471)台北市中山區建國北路二段236號6樓,True
C1110邦雄,True
C1111邦州,True
C1160邦躍,True
KLD10邦旺,True
TP007富永,True
TP013富碼,True
TP039富永三,True
TP071富果,True
TP089富望,True
TP100富綵,True
TP128富永二,True
TP188富將,True
TP598富贏,True
TP637富憪,True
TP755富朝,True
TP760富旭,True
TP806富騰,True
TP817富頤,True
TP915富鴻,True
TP916富璇,True
TP917富璨,True
TP920富傢,True
TP937富璇一,True
TP989富耕,True
北三區部 蘇俊銘 02-23455111#27011 (104471)台北市中山區建國北路二段236號04樓,True
HL258花福,True
HL602花邦,True
HL702花禾,True
HL752花盛,True
HLD00花宏,True
HLD06花宏玉里,True
TP031富享,True
TP036富享一,True
TP056富貿,True
TP057富海,True
TP058富晉,True
TP080富初,True
TP082富九,True
TP093富邁,True
TP097富九一,True
TP168富淳,True
TP425富九二,True
TP808富種,True
TP818富優,True
TP838富宅,True
TP848富碩,True
TP911富揚,True
北四區部 梁國榕 02-23891828#1888 (100417)台北市中正區襄陽路9號9樓,True
TP661富棠,True
TP666富六,True
TP688富漾,True
TP728富貴,True
TP766富白,True
Y1100富襄,True
Y1160富達,True
Y1230富翊,True
Y1450富國,True
Y1760富有,True
Y1800富琦,True
Y1840富真,True
Y1870富宣,True
北五區部 陳玉金  02-23455111#25620  (110407)台北市信義區基隆路一段210號13樓,True
IL139宜鼎一,True
IL151宜鼎,True
ILD00宜安羅東,True
TP005富同,True
TP178富莊,True
TP179富莊一,True
TP268富展,True
TP282富隼,True
TP614富姚一,True
TP668富贊,True
TP715富姚,True
TP727富兆,True
TP739富鵬,True
TP749富北,True
TP757富開,True
TP761富功,True
TP765富姚二,True
TP777富亨,True
TP779富顥,True
TP788富鑽,True
TP789富鈺,True
TP811富全,True
TP819富年,True
TP883富善,True
TPDB0富仙,True
TPDK0富皇,True
北六區部 史明岳  02-23455111#26862 (110407)台北市信義區基隆路一段210號16樓,True
A1500富誠,True
TP512富能,True
TP555富予,True
TP567富占,True
TP578富則五,True
TP585富吳,True
TP589富予二,True
TP599富后,True
TP689富夯,True
TP698富日,True
TP767富則,True
TP831富來,True
TP858富品,True
TP859富恆,True
TP867富比,True
TP900富平,True
TP923富好二,True
TP927富江,True
TP930富威,True
TP938富寶,True
TP939富運,True
TP941富繽一,True
TP945富繽,True
TP948富學,True
TP949富江一,True
Y1650富薇,True
Y1860花宸,True
Y1900花米,True
Y1980花鯉,True
北七區部 張善輯 02-25706806#856 (105608)台北市松山區八德路三段20號8樓A、C區,True
TP027富吉,True
TP267富川一,True
TP311富龍,True
TP570富傳,True
TP629富可,True
TP630富愷,True
TP667富川,True
TP718富富,True
TP736富潤,True
TP763富登,True
TP768富習,True
TP786富匯,True
TP787富尊,True
TP821富田,True
TP880富勤,True
TP885富台,True
TP901富碁,True
TP988富多,True
TPDS0富世,True
TPDT0富,True
北八區部  陳宏正  02-66208820#860  (220526)新北市板橋區三民路二段37號03樓,True
F1280邦勁,True
TA108富橋,True
TA112邦橋,True
TA118邦暘,True
TA168邦仁,True
TA198富亮,True
TA201邦馳,True
TA203邦盛,True
TA588邦讚,True
