代碼,單位名稱
TP129,富律
TP170,富驥
TP176,富仁
TP358,富航
TP510,富群
TP511,富群二
TP557,富謙
TP701,富翁
TP716,富源
TP729,富行
TP812,富寬
TP849,富耘
TP890,富方
TP895,富獻
TP918,富策
TP925,富胤二
TP928,富略
TP931,富略一
TP968,富瀚
TP978,富決
TP981,富決一
TP986,富商
TP997,富策二
TP998,富胤
TP999,富焱
TPDX0,富宥一
TPDY0,富宥
C1110,邦雄
C1111,邦州
C1160,邦躍
KLD10,邦旺
TP007,富永
TP013,富碼
TP039,富永三
TP071,富果
TP089,富望
TP100,富綵
TP128,富永二
TP188,富將
TP598,富贏
TP637,富憪
TP755,富朝
TP760,富旭
TP806,富騰
TP817,富頤
TP915,富鴻
TP916,富璇
TP917,富璨
TP920,富傢
TP937,富璇一
TP989,富耕
HL258,花福
HL602,花邦
HL702,花禾
HL752,花盛
HLD00,花宏
HLD06,花宏玉里
TP031,富享
TP036,富享一
TP056,富貿
TP057,富海
TP058,富晉
TP080,富初
TP082,富九
TP093,富邁
TP097,富九一
TP168,富淳
TP425,富九二
TP808,富種
TP818,富優
TP838,富宅
TP848,富碩
TP911,富揚
TP661,富棠
TP666,富六
TP688,富漾
TP728,富貴
TP766,富白
Y1100,富襄
Y1160,富達
Y1230,富翊
Y1450,富國
Y1760,富有
Y1800,富琦
Y1840,富真
Y1870,富宣
IL139,宜鼎一
IL151,宜鼎
ILD00,宜安羅東
TP005,富同
TP178,富莊
TP179,富莊一
TP268,富展
TP282,富隼
TP614,富姚一
TP668,富贊
TP715,富姚
TP727,富兆
TP739,富鵬
TP749,富北
TP757,富開
TP761,富功
TP765,富姚二
TP777,富亨
TP779,富顥
TP788,富鑽
TP789,富鈺
TP811,富全
TP819,富年
TP883,富善
TPDB0,富仙
TPDK0,富皇
A1500,富誠
TP512,富能
TP555,富予
TP567,富占
TP578,富則五通訊
TP585,富吳
TP589,富予二通訊
TP599,富后
TP689,富夯
TP698,富日
TP767,富則
TP831,富來
TP858,富品
TP859,富恆
TP867,富比
TP900,富平
TP923,富好二
TP927,富江
TP930,富威
TP938,富寶
TP939,富運
TP941,富繽一
TP945,富繽
TP948,富學
TP949,富江一
Y1650,富薇
Y1860,花宸
Y1900,花米
Y1980,花鯉
TP027,富吉
TP267,富川一
TP311,富龍
TP570,富傳
TP629,富可
TP630,富愷
TP667,富川
TP718,富富
TP736,富潤
TP763,富登
TP768,富習
TP786,富匯
TP787,富尊
TP821,富田
TP880,富勤
TP885,富台
TP901,富碁
TP988,富多
TPDS0,富世
TPDT0,富
F1280,邦勁
TA108,富橋
TA112,邦橋
TA118,邦暘
TA168,邦仁
TA198,富亮
TA201,邦馳
TA203,邦盛
TA588,邦讚
TA678,富眾
TA788,富饒
TAD00,邦瀅
TAD20,邦拓
TAD50,邦葳
TAD90,邦譽
TAD99,邦譽一
TADB0,邦權
TADF0,邦鑫
TP183,富巨
TP958,富炫
TPDN0,邦軒
Y1990,花鑽
KMD00,金富金門
TP009,富德
TP606,富耀
TP627,富也
TP655,富麗
TP657,富拓
TP678,富東
TP700,富酬
TP793,富派
TP799,富創
TP828,富景
TP889,富正
TP926,富生
TPDC0,富爽
Y1440,花莘
Y1640,花權
Y1920,花漾
Y1930,花岳
Y1960,花懿
TY001,桃大
